Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Original_BehaviorType,Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop,Time,Behavior type,Stop (s).x
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,21869,21902,NA,NA,NA,NA,729.303,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,21869,21902,NA,NA,NA,NA,730.403,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,21949,21969,NA,NA,NA,NA,731.97,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,21949,21969,NA,NA,NA,NA,732.638,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,alternating gaze,Not defined,NA,NA,VIDEO\Waffle.MOV,22011,22670,NA,NA,NA,NA,734.038,POINT,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,23613,23613,NA,NA,NA,NA,787.463,POINT,787.463
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,30412,30881,NA,NA,NA,NA,1014.2,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,30412,30881,NA,NA,NA,NA,1029.842,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,30925,30961,NA,NA,NA,NA,1031.308,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,30925,30961,NA,NA,NA,NA,1032.51,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,30970,31540,NA,NA,NA,NA,1032.81,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,30970,31540,NA,NA,NA,NA,1051.818,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,31582,31910,NA,NA,NA,NA,1053.218,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,31582,31910,NA,NA,NA,NA,1064.157,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,37822,38399,NA,NA,NA,NA,1261.315,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,37822,38399,NA,NA,NA,NA,1280.557,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,38411,38666,NA,NA,NA,NA,1280.957,START,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,interacting with tupperware,Not defined,NA,STATE,VIDEO\Waffle.MOV,38411,38666,NA,NA,NA,NA,1289.462,STOP,NA
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,40341,40341,NA,NA,NA,NA,1345.287,POINT,1345.287
Waffle,2024-12-19T21:49:23Z,NA,Media file,player #1:VIDEO\Waffle.MOV,0,1417.32,1473.312,29.97,No focal subject,240.613,looking at owner,Not defined,NA,NA,VIDEO\Waffle.MOV,41573,41573,NA,NA,NA,NA,1386.405,POINT,1386.405
