"","Observation id","Behavior","Behavior type","Start (s)","Stop (s)","coder"
"339","Waffle","looking at owner","POINT",376.707,376.707,"Chaewon"
"340","Waffle","interacting with tupperware","STATE",486.925,487.825,"Chaewon"
"341","Waffle","interacting with tupperware","STATE",488.992,490.227,"Chaewon"
"342","Waffle","interacting with tupperware","STATE",491.727,493.728,"Chaewon"
"343","Waffle","interacting with tupperware","STATE",497.33,501.898,"Chaewon"
"344","Waffle","interacting with tupperware","STATE",502.665,508.368,"Chaewon"
"345","Waffle","looking at owner","POINT",540.983,540.983,"Chaewon"
"346","Waffle","looking at owner","POINT",639.495,639.495,"Chaewon"
"347","Waffle","looking at owner","POINT",643.363,643.363,"Chaewon"
"348","Waffle","interacting with tupperware","STATE",725.502,728.402,"Chaewon"
"349","Waffle","interacting with tupperware","STATE",729.303,730.403,"Chaewon"
"350","Waffle","interacting with tupperware","STATE",731.97,732.638,"Chaewon"
"351","Waffle","bark/whine vocalization","POINT",733.172,733.172,"Chaewon"
"352","Waffle","bark/whine vocalization","POINT",742.108,742.108,"Chaewon"
"353","Waffle","bark/whine vocalization","POINT",746.143,746.143,"Chaewon"
"354","Waffle","bark/whine vocalization","POINT",748.678,748.678,"Chaewon"
"355","Waffle","bark/whine vocalization","POINT",776.425,776.425,"Chaewon"
"356","Waffle","bark/whine vocalization","POINT",785.562,785.562,"Chaewon"
"357","Waffle","looking at owner","POINT",787.463,787.463,"Chaewon"
"358","Waffle","bark/whine vocalization","POINT",894.278,894.278,"Chaewon"
"359","Waffle","interacting with tupperware","STATE",1014.2,1029.842,"Chaewon"
"360","Waffle","interacting with tupperware","STATE",1031.308,1032.51,"Chaewon"
"361","Waffle","interacting with tupperware","STATE",1032.81,1051.818,"Chaewon"
"362","Waffle","interacting with tupperware","STATE",1053.218,1064.157,"Chaewon"
"363","Waffle","nudging/scratching/paw owner","POINT",1075.83,1075.83,"Chaewon"
"364","Waffle","nudging/scratching/paw owner","POINT",1076.297,1076.297,"Chaewon"
"365","Waffle","nudging/scratching/paw owner","POINT",1076.53,1076.53,"Chaewon"
"366","Waffle","nudging/scratching/paw owner","POINT",1076.83,1076.83,"Chaewon"
"367","Waffle","nudging/scratching/paw owner","POINT",1077.397,1077.397,"Chaewon"
"368","Waffle","nudging/scratching/paw owner","POINT",1077.797,1077.797,"Chaewon"
"369","Waffle","nudging/scratching/paw owner","POINT",1078.33,1078.33,"Chaewon"
"370","Waffle","bark/whine vocalization","POINT",1098.307,1098.307,"Chaewon"
"371","Waffle","bark/whine vocalization","POINT",1108.612,1108.612,"Chaewon"
"372","Waffle","bark/whine vocalization","POINT",1118.882,1118.882,"Chaewon"
"373","Waffle","bark/whine vocalization","POINT",1172.573,1172.573,"Chaewon"
"374","Waffle","bark/whine vocalization","POINT",1176.508,1176.508,"Chaewon"
"375","Waffle","bark/whine vocalization","POINT",1179.51,1179.51,"Chaewon"
